result_id,status,review_state,value,unit,source_file,used_in_paper,notes
q1_test_wape,DRAFT,NEEDS_REVIEW,0.24301446659461443,无量纲,tables/q1_forecast_metrics.csv,false,2376至2399小时独立测试集系统GPU需求WAPE
q1_interval_picp,DRAFT,NEEDS_REVIEW,0.875,无量纲,tables/q1_forecast_metrics.csv,false,2376至2399小时测试集系统GPU需求90%联合预测区间覆盖率
q1_scheduled_tasks,DRAFT,NEEDS_REVIEW,538,个,data/processed/schedule_2376_2405.csv,false,2376至2399小时实际到达任务全部成功调度
q1_max_gpu_util,DRAFT,NEEDS_REVIEW,99.01656314699392,百分比,tables/q1_schedule_summary.csv,false,纳入固定carry-in后的2376至2405小时区域GPU利用率最大值
q1_baseline_error,DRAFT,NEEDS_REVIEW,3.333344800182658e-07,MW,data/processed/constraint_audit.csv,false,到达即执行基准AI_IT负荷最大重构误差
q1_validation_interval_picp,DRAFT,NEEDS_REVIEW,1.0,无量纲,tables/q1_forecast_metrics.csv,false,2352至2375小时验证集系统GPU需求90%预测区间覆盖率
q1_moved_tasks,DRAFT,NEEDS_REVIEW,0,个,tables/q1_schedule_summary.csv,false,本地立即到本地顺延再必要迁移规则下的跨区域任务数
q1_delayed_tasks,DRAFT,NEEDS_REVIEW,4,个,tables/q1_schedule_summary.csv,false,本地优先修正规则下的延迟开工任务数
q1_mean_gpu_util,DRAFT,NEEDS_REVIEW,37.225579712304814,百分比,tables/q1_schedule_summary.csv,false,纳入固定carry-in后的区域小时平均GPU利用率
q1_carry_in_gpu_hour,DRAFT,NEEDS_REVIEW,2185.116666666647,GPU小时,results/run_summary.json,false,2376至2405小时由历史任务带入的固定GPU占用总量
