Hour,Region,GPUUse_GPUh,CarryIn_GPUUse_GPUh,ScheduledNew_GPUUse_GPUh,Available_GPU,GPU_Utilization_Percent,CarryIn_AI_IT_Load_MW,ScheduledNew_AI_IT_Load_MW,AI_IT_Load_MW,IT_Load_MW,Facility_Load_MW
2376,RegionA,122.26666666666779,108.26666666666779,14.0,630.0,19.407407407407586,12.695333333333437,1.3399999999999999,14.035333333333437,323.8400003333334,437.18400045000016
2377,RegionA,141.29999999999245,80.73333333332812,60.56666666666433,630.0,22.42857142857023,10.006666666666135,5.596666666666435,15.60333333333257,381.09000033333257,514.471500449999
2378,RegionA,129.91666666667152,65.16666666667106,64.75000000000045,630.0,20.62169312169389,8.326666666667297,5.880000000000038,14.206666666667335,400.2199996666673,540.2969995500009
2379,RegionA,107.08333333333621,15.0,92.08333333333621,630.0,16.997354497354955,1.4200000000000002,8.602666666666957,10.022666666666957,403.19999966666694,544.3199995500004
2380,RegionA,197.10000000000036,4.233333333333121,192.86666666666724,630.0,31.285714285714345,0.3459999999999764,26.126666666666726,26.4726666666667,403.1999996666667,544.3199995500001
2381,RegionA,219.01666666666915,0.0,219.01666666666915,630.0,34.76455026455066,0.0,28.751333333333584,28.751333333333584,403.2000003333336,544.3200004500004
2382,RegionA,204.0166666666846,0.0,204.0166666666846,630.0,32.383597883600736,0.0,26.348000000002685,26.348000000002685,403.20000000000266,544.3200000000036
2383,RegionA,120.64999999999918,0.0,120.64999999999918,630.0,19.15079365079352,0.0,11.42133333333328,11.42133333333328,403.20000033333326,544.32000045
2384,RegionA,94.36666666666997,0.0,94.36666666666997,630.0,14.978835978836504,0.0,8.644666666666971,8.644666666666971,403.199999666667,544.3199995500005
2385,RegionA,64.68333333333612,0.0,64.68333333333612,630.0,10.26719576719621,0.0,5.726666666666935,5.726666666666935,403.19999966666694,544.3199995500004
2386,RegionA,71.19999999999982,0.0,71.19999999999982,630.0,11.301587301587272,0.0,6.375999999999986,6.375999999999986,403.2,544.32
2387,RegionA,62.1666666666697,0.0,62.1666666666697,630.0,9.867724867725348,0.0,5.535000000000301,5.535000000000301,375.1200000000003,506.41200000000043
2388,RegionA,231.59999999997717,0.0,231.59999999997717,630.0,36.761904761901135,0.0,28.630666666663092,28.630666666663092,371.0899996666631,500.97149954999526
2389,RegionA,143.25000000000273,0.0,143.25000000000273,630.0,22.73809523809567,0.0,13.746666666666915,13.746666666666915,328.9199996666669,444.04199955000036
2390,RegionA,136.0666666666625,0.0,136.0666666666625,630.0,21.597883597882937,0.0,13.24999999999959,13.24999999999959,317.0199999999996,427.97699999999946
