result_id,status,review_state,value,unit,source_file,used_in_paper,notes
q2_tasks_scheduled,FROZEN,CHECKED,50000,个,data/processed/q2_schedule_cost_only.csv,true,"canonical reference-start Cost-primary任务级排程；完整扫描收敛、硬约束审计和多起点对照已复核；仅冻结任务级排程，不冻结跨问经济accounting"
q2_cost_primary_cost,DRAFT,NEEDS_REVIEW,1555371304.1316478,CNY,tables/q2_metrics_cost_only.csv,false,3-pass 收敛；relative improvement=5.7656e-4；硬约束 PASS；Hour2406 accounting统一前不冻结绝对成本
q2_cost_reduction,DRAFT,NEEDS_REVIEW,246415568.56023908,CNY,tables/q2_metrics_cost_only.csv,false,相对附件参考状态的 Cost-primary 成本降低；accounting统一前不冻结
q2_cost_reduction_rate,DRAFT,NEEDS_REVIEW,13.676177371194399,百分比,tables/q2_metrics_cost_only.csv,false,canonical reference-start 收敛结果；经济口径待统一
q2_cost_primary_carbon,DRAFT,NEEDS_REVIEW,1826774.354637248,tCO2,tables/q2_metrics_cost_only.csv,false,Cost-primary 对应碳排；跨问accounting待统一
q2_cost_primary_carbon_reduction,DRAFT,NEEDS_REVIEW,218593.12064679852,tCO2,tables/q2_metrics_cost_only.csv,false,Cost-primary 相对附件参考状态减排
q2_cost_primary_carbon_reduction_rate,DRAFT,NEEDS_REVIEW,10.687229717312379,百分比,tables/q2_metrics_cost_only.csv,false,canonical reference-start 收敛结果
q2_eta_R,DRAFT,NEEDS_REVIEW,37.29211901630813,百分比,tables/q2_metrics_cost_only.csv,false,Cost-primary 新能源利用率；跨问统一公式后冻结
q2_delta_renewable_use,DRAFT,NEEDS_REVIEW,513260.57488533336,MWh,tables/q2_metrics_cost_only.csv,false,Cost-primary 新增新能源直接消纳/弃电减少
q2_migration_rate,FROZEN,CHECKED,74.896,百分比,tables/q2_metrics_cost_only.csv,true,"canonical workload-only端点；37,448/50,000；与Q4 0.122%用于柔性替代机制对照；不受Hour2406经济accounting影响"
q2_rt_migrated,FROZEN,CHECKED,11685,个,tables/q2_metrics_cost_only.csv,true,"RT保持到达即开工前提下的合法空间迁移；任务级排程审计通过"
q2_cost_mean_wait,FROZEN,CHECKED,20.47522,h,tables/q2_metrics_cost_only.csv,true,"canonical workload-only服务代价；与Q4 Wait=0用于柔性替代机制对照"
q2_cost_p95_wait,FROZEN,CHECKED,76,h,tables/q2_metrics_cost_only.csv,true,"canonical workload-only P95 waiting；任务级排程派生"
q2_cost_max_wait,FROZEN,CHECKED,2016,h,tables/q2_metrics_cost_only.csv,true,"Task13051等极端样例已审计为合法长slack利用，不是deadline/index bug"
q2_carbon_primary_carbon,DRAFT,NEEDS_REVIEW,1815531.6056203956,tCO2,tables/q2_metrics_carbon_only.csv,false,3-pass 收敛；relative improvement=5.1185e-4；硬约束 PASS
q2_carbon_reduction,DRAFT,NEEDS_REVIEW,229835.86966365087,tCO2,tables/q2_metrics_carbon_only.csv,false,Carbon-primary 相对附件参考状态减排
q2_carbon_reduction_rate,DRAFT,NEEDS_REVIEW,11.23689862291043,百分比,tables/q2_metrics_carbon_only.csv,false,canonical reference-start 收敛结果
q2_carbon_primary_cost,DRAFT,NEEDS_REVIEW,1558153356.531096,CNY,tables/q2_metrics_carbon_only.csv,false,Carbon-primary 对应成本
q2_carbon_primary_cost_reduction_rate,DRAFT,NEEDS_REVIEW,13.52177218367676,百分比,tables/q2_metrics_carbon_only.csv,false,相对附件参考状态成本降幅
q2_carbon_cost_penalty,DRAFT,NEEDS_REVIEW,2782052.3994481564,CNY,tables/q2_objective_probe_20260817.csv,false,Carbon-primary 相对 Cost-primary 的额外成本
q2_carbon_cost_penalty_rate,DRAFT,NEEDS_REVIEW,0.17886741204868475,百分比,tables/q2_objective_probe_20260817.csv,false,额外成本占 Cost-primary 总成本比例
q2_cost_carbon_penalty,DRAFT,NEEDS_REVIEW,11242.74901685235,tCO2,tables/q2_objective_probe_20260817.csv,false,Cost-primary 相对 Carbon-primary 的额外碳排
q2_cost_carbon_penalty_rate,DRAFT,NEEDS_REVIEW,0.6192538307814546,百分比,tables/q2_objective_probe_20260817.csv,false,额外碳排占 Carbon-primary 碳排比例
q2_cost_passes,FROZEN,CHECKED,3,遍,results/q2_convergence_cost_only.csv,true,"canonical reference-start达到relative_tol=1e-3；用于证明任务级端点收敛"
q2_carbon_passes,DRAFT,NEEDS_REVIEW,3,遍,results/q2_convergence_carbon_only.csv,false,达到 relative_tol=1e-3
q2_hard_constraint_status,FROZEN,CHECKED,1,布尔,results/q2_run_summary_cost_only.json,true,"canonical Cost-primary GPU/IT/Facility/Grid/SLA/deadline/2406/energy balance PASS；冻结任务级可行性"
q2_independent_cost_pass3,DRAFT,NEEDS_REVIEW,1554958103.8526173,CNY,results/q2_independent_convergence_audit_20260817.csv,false,旧独立实现交叉检查值；不作为 canonical 正文值
q2_independent_carbon_pass3,DRAFT,NEEDS_REVIEW,1815207.8827400673,tCO2,results/q2_independent_convergence_audit_20260817.csv,false,旧独立实现交叉检查值；不作为 canonical 正文值
